%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,417,0x0408000000004000,1660861685.949558000,1660861741.093560000,55.144002000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",53152,52.114.159.226,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_40,-_-,443,https,40,43,9296,12117,0,1322,232.4,297.8252,-0.000713,13.72946,1.3786,2.643785,0.7253736,168.5768,-0.03614458,-0.1317424,0x0011,1,1,64,64,0,0x00,0xc040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2380525119,40,9296,0,40,11362,0,1322,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.432,0.09251909,0.1205642,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,29,1,6,164,5.655172,27.33333,8960,4325982
B,417,0x0400000000004001,1660861685.925558000,1660861741.093560000,55.168002000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.114.159.226,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",53152,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_43,-_-,443,https,43,40,12117,9296,0,1440,281.7907,344.8694,0,13.776,1.282977,2.636257,0.7794373,219.6382,0.03614458,0.1317424,0x0011,1,100,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2455750322,43,11966,0,43,9296,0,1776,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,13.77746,1.282528,2.689531,1.375047,2.692232,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,29,5,163,163,32.6,185,48942
A,425,0x0400000000004000,1660861748.279854000,1660861748.317560000,0.037706000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",60481,52.114.132.80,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.037706,0.018853,0.01333108,53.04196,0,0,0,0x0011,62052,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,485650700,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.002294016,0.03770598,0.02,0.01252002,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,29,1,6,164,5.655172,27.33333,8977,4336125
B,425,0x0400000000004001,1660861748.277560000,1660861748.317560000,0.040000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.114.132.80,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",60481,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.04,0.02,0.01414214,50,0,0,0,0x0011,17,17,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2456132427,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.02,0.01252002,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,29,5,163,163,32.6,6,358
A,426,0x0400000000004000,1660861748.282354000,1660861748.325560000,0.043206000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",50998,20.110.63.249,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.043206,0.021603,0.01527563,46.28987,0,0,0,0x0011,2143,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2999140484,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000793984,0.04320602,0.022,0.01499492,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,29,1,16,162,5.586207,10.125,8977,4336125
B,426,0x0400000000004001,1660861748.281560000,1660861748.325560000,0.044000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,20.110.63.249,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",50998,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.044,0.022,0.01555635,45.45454,0,0,0,0x0011,10,10,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2456456247,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.022,0.01499492,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,29,15,161,161,10.73333,65,25293
A,427,0x0400000000004000,1660861753.845560000,1660861754.173560000,0.328000000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",54202,52.113.206.194,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_15,-_-,443,https,15,16,1654,7772,0,1319,110.2667,310.3672,0,0.108,0.02186667,0.03412797,45.7317,5042.683,-0.03225806,-0.6490558,0x0011,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4238125239,15,1654,0,15,6332,0,1319,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.108,0.0235,0.0377115,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,29,1,8,164,5.655172,20.5,8983,4336125
B,427,0x0400000000004001,1660861753.845560000,1660861754.173560000,0.328000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.113.206.194,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",54202,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_16,-_-,443,https,16,15,7772,1654,0,1440,485.75,603.5206,0,0.104,0.0205,0.0328673,48.78049,23695.12,0.03225806,0.6490558,0x0011,1,28,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2465600002,16,7734,0,16,1654,0,1452,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.02604998,0.003336666,0.006883782,0.02683667,0.03833463,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,29,7,163,163,23.28572,362,89667
A,432,0x0400000000004000,1660861754.624278000,1660861754.853560000,0.229282000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",40728,52.113.194.132,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_5,-_-,443,https,5,5,1464,512,0,732,292.8,287.4647,0,0.114449,0.0458564,0.03438764,21.80721,6385.15,0,0.4817814,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1099532415,5,1464,0,5,512,0,732,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.001550976,0.114449,0.0424,0.03669908,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,29,1,42,162,5.586207,3.857143,8983,4336125
B,432,0x0400000000004001,1660861754.621560000,1660861754.853560000,0.232000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.113.194.132,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",40728,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_5,-_-,443,https,5,5,512,1464,0,171,102.4,67.07478,0,0.116,0.0464,0.03478181,21.55173,2206.897,0,-0.4817814,0x0011,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2465734734,5,341,0,5,732,0,171,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.02155098,0.004310195,0.007127768,0.0467102,0.03738485,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,29,41,161,161,3.926829,1259,957231
