%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,5,0x0400000000004000,1667851712.558136000,1667851746.898017000,34.339881000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",39822,76.223.92.165,us,"Amazoncom",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_15,-_-,443,https,15,20,580,6670,0,66,38.66667,25.36556,0,9.746541,2.289326,3.056545,0.4368099,16.88998,-0.1428571,-0.84,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,971732108,15,580,0,15,5853,0,66,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,1.2032e-05,9.737481,1.295564,2.61876,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,18,28,14,1.555556,613,176773
B,5,0x0400000000004001,1667851712.550017000,1667851746.850017000,34.300000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,76.223.92.165,us,"Amazoncom",443,10.0.2.16,04,"Private network",39822,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_20,-_-,443,https,20,15,6670,580,0,817,333.5,362.9754,0,9.74,1.715,2.843926,0.5830904,194.4606,0.1428571,0.84,0x0011,1,47,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,120579996,20,6603,0,20,580,0,817,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,7.024318,0.5644706,1.683616,1.860034,3.113273,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,17,27,27,1.588235,362,67212
A,18,0x0400000000004000,1667852091.591235000,1667852340.412857000,248.821622000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",58684,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_87,-_-,443,https,87,115,3558,38468,0,394,40.89655,39.92223,0,14.62744,2.860019,3.700799,0.3496481,14.2994,-0.1386139,-0.8306763,0x0011,32635,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3632005636,87,3558,0,87,38417,0,394,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000214016,14.61828,1.762644,3.3183,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,10,26,13,2.6,613,176773
B,18,0x0400000000004001,1667852091.591143000,1667852340.412812000,248.821669000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",58684,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_115,-_-,443,https,115,87,38468,3558,0,817,334.5043,388.6403,0,14.61791,2.163666,3.446362,0.4621784,154.6007,0.1386139,0.8306763,0x0011,1,13,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,168067645,115,38468,0,115,3558,0,884,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,4.4992e-05,8.633691,0.5335382,1.694872,2.296183,3.726085,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,9,25,25,2.777778,336,82972
A,9,0x0400000000004000,1667851786.554018000,1667851821.286019000,34.732001000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",59618,76.223.92.165,us,"Amazoncom",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_17,-_-,443,https,17,24,692,8304,0,66,40.70588,24.44977,0,10.27569,2.043059,2.877779,0.4894621,19.92399,-0.1707317,-0.8461539,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3974340653,17,692,0,17,7487,0,66,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,10.2614,1.301755,2.634729,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,18,30,15,1.666667,686,192122
B,9,0x0400000000004001,1667851786.546018000,1667851821.242019000,34.696001000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,76.223.92.165,us,"Amazoncom",443,10.0.2.16,04,"Private network",59618,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_24,-_-,443,https,24,17,8304,692,0,817,346,370.2238,0,10.264,1.445667,2.606954,0.6917224,239.336,0.1707317,0.8461539,0x0011,1,81,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,130499996,24,8237,0,24,692,0,817,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,1.69274,0.2076384,0.4836267,1.509393,2.678748,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,17,29,29,1.705882,390,77150
A,8,0x0400000000004000,1667851781.290838000,1667851826.947320000,45.656482000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",56606,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_17,-_-,443,https,17,24,692,8304,0,66,40.70588,24.90325,0,10.28903,2.685675,2.930813,0.3723458,15.15666,-0.1707317,-0.8461539,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2399860114,17,692,0,17,7487,0,66,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000220992,10.2656,1.405576,2.539534,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,12,28,14,2.333333,688,193319
B,8,0x0400000000004001,1667851781.287681000,1667851826.906174000,45.618493000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",56606,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_24,-_-,443,https,24,17,8304,692,0,817,346,369.8582,0,10.2621,1.900771,2.762404,0.5261024,182.0314,0.1707317,0.8461539,0x0011,1,9,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,126403996,24,8237,0,24,692,0,817,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000111,6.327653,0.7026416,1.783485,2.108217,3.103232,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,11,27,27,2.454545,394,95819
A,7,0x0400000000004000,1667851766.865772000,1667851826.906265000,60.040493000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",56594,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_27,-_-,443,https,27,27,12335,2697,0,1197,456.8518,539.772,0,10.23112,2.223722,3.09765,0.4496965,205.4447,0,0.6411655,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,633047415,27,12335,0,27,2502,0,1197,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.00028896,0.06369005,0.01834726,0.01837808,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,10,26,13,2.6,688,193319
B,7,0x0400000000004001,1667851766.865686000,1667851826.906227000,60.040541000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",56594,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_27,-_-,443,https,27,27,2697,12335,0,949,99.88889,154.7296,0,10.23317,2.223724,3.098134,0.4496961,44.91965,0,-0.6411655,0x0011,1,9,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,126339696,27,2537,0,27,12335,0,949,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,3.8016e-05,10.2312,2.205698,3.109036,2.224046,3.109091,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,9,25,25,2.777778,394,95819
