%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,189,0x0400000000004000,1667931469.204579000,1667931479.355163000,10.150584000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",51236,149.154.167.50,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_3,-_-,443,https,3,3,169,153,0,169,56.33333,58.63359,0,10.1202,3.383528,3.889432,0.2955495,16.64929,0,0.04968944,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1884610045,3,169,0,3,0,0,169,65535,65535,65535,65535,0,0,0,0,0x0119,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000342976,0.000394992,0.0002459893,0.0001270316,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,14,26,8.666667,1.857143,7207,1108737
B,189,0x0400000000004001,1667931469.204478000,1667931479.355506000,10.151028000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.50,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",51236,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_3,-_-,443,https,3,3,153,169,0,153,51,53.08248,0,10.12015,3.383676,3.889317,0.2955366,15.07237,0,-0.04968944,0x0011,1,98,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1252672002,3,153,0,3,169,0,0,8760,8760,8760,8760,0,0,0,0,0x0018,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000101008,10.11981,3.383464,3.889241,3.38371,3.889241,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,13,25,25,1.923077,163,4332
A,191,0x0400000000004000,1667931479.371135000,1667931479.371135000,0.000000000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",51220,149.154.167.50,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_1,-_-,443,https,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0011,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2355913785,1,0,0,1,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000377984,0.000377984,0.000377984,0,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,12,24,8,2,7207,1108737
B,191,0x0400000000004001,1667931479.371513000,1667931479.371513000,0.000000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.50,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",51220,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_1,-_-,443,https,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0011,65535,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1252608155,1,0,0,1,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0010,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,65535,0,0,0,0.000377984,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,11,23,23,2.090909,163,4332
A,192,0x0400000000004000,1667931479.371212000,1667931479.481260000,0.110048000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",51214,149.154.167.50,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.110048,0.055024,0.03890784,18.17389,0,0,0,0x0011,46247,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,593409787,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000548992,0.109963,0.055256,0.0386837,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,10,22,7.333333,2.2,7207,1108737
B,192,0x0400000000004001,1667931479.371761000,1667931479.481175000,0.109414000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.50,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",51214,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.109414,0.054707,0.03868369,18.2792,0,0,0,0x0011,3,3,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1252544155,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8.4992e-05,8.4992e-05,4.2496e-05,3.004921e-05,0.05529849,0.03868371,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,9,21,21,2.333333,163,4332
A,202,0x0400000000004000,1667932040.750025000,1667932077.371541000,36.621516000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",39132,149.154.167.151,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_29,-_-,443,https,29,29,377,34801,0,377,13,66.31448,0,25.06933,1.262811,4.831687,0.7918842,10.29449,0,-0.9785662,0x0011,1780,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2915897862,29,377,0,29,34632,0,377,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,1.0992e-05,0.191219,0.01430331,0.04114481,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,4,20,6.666667,5,7207,1108737
B,202,0x0400000000004001,1667932040.749888000,1667932077.371490000,36.621602000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.151,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",39132,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_29,-_-,443,https,29,29,34801,377,0,1440,1200.034,468.3558,0,25.07005,1.262814,4.832218,0.7918823,950.2861,0,0.9785662,0x0011,1,49,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1327104002,29,34801,0,29,377,0,4260,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,1.4016e-05,25.06942,1.248762,4.835006,1.263066,4.835181,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,3,19,19,6.333333,1034,1268723
A,193,0x0400000000004000,1667931495.200666000,1667931495.302917000,0.102251000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",47158,149.154.167.151,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.102251,0.0511255,0.03615119,19.55971,0,0,0,0x0011,64135,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4073938796,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.001186992,0.102077,0.051632,0.03567001,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,2,18,6,9,7236,1114706
B,193,0x0400000000004001,1667931495.201853000,1667931495.302743000,0.100890000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.151,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",47158,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.10089,0.050445,0.03567,19.82357,0,0,0,0x0011,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1252875047,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000173984,0.000173984,8.6992e-05,6.151263e-05,0.05171899,0.03567006,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,1,17,17,17,1034,1268723
