%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,57,0x0400000000004000,1667926809.643482000,1667927057.061752000,247.418270000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",58190,162.159.135.234,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_57,-_-,443,https,57,57,540,10623,0,131,9.473684,23.40725,0,37.44857,4.340672,6.974402,0.2303791,2.182539,0,-0.9032518,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3928447353,57,540,0,57,9183,0,131,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,3.9936e-05,37.44843,3.434486,6.293883,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,14,2,7,2195,418114
B,57,0x0400000000004001,1667926809.643394000,1667927057.061626000,247.418232000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.135.234,au,"Cloudflare",443,10.0.2.16,04,"Private network",58190,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_57,-_-,443,https,57,57,10623,540,0,1440,186.3684,371.422,0,37.49217,4.340671,6.978139,0.2303791,42.9354,0,0.9032518,0x0011,1,10,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,631171897,57,10590,0,57,540,0,1440,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,4.8e-05,27.60016,0.9063241,3.884986,4.34081,7.396356,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,13,13,13,222,34402
A,56,0x0400000000004000,1667926809.301316000,1667927087.430627000,278.129311000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",36332,162.159.137.232,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_65,-_-,443,https,65,66,21706,15452,0,1460,333.9385,372.7834,0,36.35696,4.278913,7.683501,0.2337043,78.04284,-0.007633588,0.1683083,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1354271258,65,21706,0,65,15452,0,2320,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,7.7e-05,0.461669,0.07901876,0.09907648,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,12,2,6,2201,418775
B,56,0x0400000000004001,1667926809.304317000,1667927087.431565000,278.127248000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.137.232,au,"Cloudflare",443,10.0.2.16,04,"Private network",36332,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_66,-_-,443,https,66,65,15452,21706,0,1440,234.1212,302.0266,0,36.35799,4.214049,7.646659,0.2373014,55.5573,0.007633588,-0.1683083,0x0011,1,10,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,631006780,66,15452,0,66,21615,0,2880,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,5.4e-05,36.35712,4.205089,7.722274,4.284107,7.722909,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,11,11,11,417,93502
A,64,0x0400000000004000,1667927534.311062000,1667927685.694379000,151.383317000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",60934,162.159.133.234,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_31,-_-,443,https,31,31,128,2090,0,43,4.129032,12.0917,0,28.46372,4.883333,7.390465,0.2047782,0.8455357,0,-0.8845807,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1790619783,31,128,0,31,1825,0,43,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000596032,27.58303,2.58598,4.471852,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,10,2,5,2201,418775
B,64,0x0400000000004001,1667927534.269487000,1667927685.694269000,151.424782000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.133.234,au,"Cloudflare",443,10.0.2.16,04,"Private network",60934,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_31,-_-,443,https,31,31,2090,128,0,265,67.41936,48.60723,0,28.46494,4.884671,7.390409,0.2047221,13.80223,0,0.8845807,0x0011,1,10,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,723083259,31,2090,0,31,128,0,131,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,6.304e-05,28.46386,2.298881,6.77164,4.884861,8.11496,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,9,9,9,172,11334
A,59,0x0400000000004000,1667927182.468839000,1667927182.507880000,0.039041000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",57272,162.159.128.232,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.039041,0.0195205,0.01380308,51.2282,0,0,0,0x0011,28405,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1364386979,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000306976,0.03895299,0.01962998,0.01366343,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,12,2,6,2265,431049
B,59,0x0400000000004001,1667927182.469146000,1667927182.507792000,0.038646000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.128.232,au,"Cloudflare",443,10.0.2.16,04,"Private network",57272,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.038646,0.019323,0.01366343,51.7518,0,0,0,0x0011,4,4,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,668356086,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8.8e-05,8.8e-05,4.4e-05,3.11127e-05,0.01967398,0.01366347,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,11,11,11,14,1462
A,66,0x0400000000004000,1667927713.416994000,1667927909.482836000,196.065842000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",59576,162.159.133.234,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_60,-_-,443,https,60,60,214,3329,0,43,3.566667,11.50582,0,40.54374,3.267764,5.462136,0.3060196,1.09147,0,-0.8791984,0x0011,21615,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2401747560,60,214,0,60,3253,0,43,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000497008,10.14102,2.270512,2.646567,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,12,2,6,2318,437016
B,66,0x0400000000004001,1667927713.368711000,1667927909.482633000,196.113922000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.133.234,au,"Cloudflare",443,10.0.2.16,04,"Private network",59576,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_60,-_-,443,https,60,60,3329,214,0,273,55.48333,38.4101,0,40.5444,3.268565,5.462951,0.3059446,16.97483,0,0.8791984,0x0011,1,8,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,745227268,60,3329,0,60,214,0,273,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,6.8992e-05,40.54388,0.9982756,5.215499,3.268788,5.848568,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,11,11,11,232,14663
